,LOC,Name,Contact,Administrator,Administrator Email,Address,School Link,Staff Link
33,6681,PALM SPRINGS MS,(305)821-2460,HERIBERTO SANCHEZ,pr6681@dadeschools.net,"1025 WEST 56 STREETHIALEAH, FL 33012",http://palmspringsmiddleschool.net/,http://palmspringsmiddleschool.net//faculty-and-staff/
34,6701,PALMETTO MS,(305)238-3911,JESUS GONZALEZ,pr6701@dadeschools.net,"7351 SW 128TH STREETPINECREST, FL 33156",http://pms.dadeschools.net/,http://pms.dadeschools.net/
35,6041,PAUL W. BELL MS,(305)220-2075,RICO L. JONES,pr6041@dadeschools.net,"11800 NW 2ND STREETMIAMI, FL 33182",https://www.paulbellmiddle.org/,https://www.paulbellmiddle.org//faculty-and-staff-directory/
37,6761,REDLAND MS,(305)247-6112,SAMUEL J. LOUIS,pr6761@dadeschools.net,"16001 SW 248 STREETMIAMI, FL 33031",https://redlandmiddleschool.org/,https://redlandmiddleschool.org//staff-directory/
38,6781,RICHMOND HEIGHTS MS,(305)238-2316,DR. FRANCISCO M. SAURI,pr6781@dadeschools.net,"15015 SW 103TH AVENUEMIAMI, FL 33176",http://richmondheightsmiddle.com/,http://richmondheightsmiddle.com//index.php/staff-directory/
39,6801,RIVIERA MS,(305)226-4286,JAVIER G. NORA,pr6801@dadeschools.net,"10301 SW 48TH STREETMIAMI, FL 33165",http://rivieramiddle.net/,http://rivieramiddle.net//staff-directory/
40,6821,ROCKWAY MS,(305)221-8212,JOSEPHINE OTERO,pr6821@dadeschools.net,"9393 SW 29TH TERRACEMIAMI, FL 33165",https://www.rockwaymiddleschool.org/,https://www.rockwaymiddleschool.org//apps/staff/
41,6121,RUBEN DARIO MS,(305)226-0179,JUAN C. BOUE,pr6121@dadeschools.net,"350 NW 97TH AVENUEMIAMI, FL 33172",https://rubendarioms.org/,https://rubendarioms.org//apps/staff/
42,6841,SHENANDOAH MS,(305)856-8282,MICHELLE L. COTO,pr6841@dadeschools.net,"1950 SW 19TH STREETMIAMI, FL 33145",http://shenandoahmiddle.com/,http://shenandoahmiddle.com//staff-directory-alpha/
43,5003,SOUTH DADE MIDDLE SCHOOL - GRADES 4-8,(305)224-5200,DR. GUILLERMO A. MUNOZ,pr5003@dadeschools.net,"29100 SW 194TH AVENUEMIAMI, FL 33030",https://southdademiddle.com/,https://southdademiddle.com//wp-content/uploads/2020/09/Staff-Directory-with-emails.pdf
44,6881,SOUTH MIAMI MS,(305)661-3481,FABIOLA V. IZAGUIRRE,pr6881@dadeschools.net,"6750 SW 60TH STREETSOUTH MIAMI, FL 33143",https://southmiamimiddle.org/,https://southmiamimiddle.org//apps/staff/
45,6861,SOUTHWOOD MIDDLE SCHOOL,(305)251-5361,RAUL F. GARCIA,pr6861@dadeschools.net,"16301 SW 80TH AVENUEPALMETTO BAY, FL 33157",http://southwoodmiddle.dadeschools.net/,http://southwoodmiddle.dadeschools.net/
46,6281,THOMAS JEFFERSON BISCAYNE GARDENS K-8 ACADEMY,(305)681-7481,PATRICK LACOUTY,pr6281@dadeschools.net,"525 NW 147TH STREETMIAMI, FL 33168",https://thomasjeffersonmiddleschool.org/,https://thomasjeffersonmiddleschool.org//apps/staff/
47,6901,W. R. THOMAS MS,(305)995-3800,LAURA F. TENNANT,pr6901@dadeschools.net,"13001 SW 26 STREETMIAMI, FL 33175",https://www.wrthomasmiddle.net/,https://www.wrthomasmiddle.net//apps/staff/
48,6961,WEST MIAMI MS,(305)261-8383,RONIEL OSORIO,pr6961@dadeschools.net,"7525 SW 24TH STREETMIAMI, FL 33155",https://westmiamimiddle.org/,https://westmiamimiddle.org//apps/staff/
